name,proc_id,njss_url,address,categories,open_count,total_count,result_count
宮崎県庁,1644,https://www2.njss.info/organizations/proc/1644,宮崎県,地方公共団体|都道府県庁,304,167977,151542
国際協力機構(JICA),757,https://www2.njss.info/organizations/proc/757,東京都,国・省庁|外郭団体等|認可法人|独立行政法人,302,50205,42648
愛媛県庁,1697,https://www2.njss.info/organizations/proc/1697,愛媛県,地方公共団体|都道府県庁,300,89843,78251
島根県庁,1695,https://www2.njss.info/organizations/proc/1695,島根県,地方公共団体|都道府県庁,297,70184,57062
さいたま市役所,1653,https://www2.njss.info/organizations/proc/1653,埼玉県,地方公共団体|市区町村役所,294,112826,104397
防衛省(MOD) 陸上自衛隊 東部方面隊 東部方面会計隊,17,https://www2.njss.info/organizations/proc/17,東京都,国・省庁|防衛省|陸上自衛隊,292,124052,18107
和歌山県庁,1693,https://www2.njss.info/organizations/proc/1693,和歌山県,地方公共団体|都道府県庁,288,546579,482351
国土交通省(MLIT) 関東地方整備局,504,https://www2.njss.info/organizations/proc/504,埼玉県,国・省庁|国土交通省|整備局,287,70836,57211
鹿児島県庁,1703,https://www2.njss.info/organizations/proc/1703,鹿児島県,地方公共団体|都道府県庁,287,85790,75569
国土交通省(MLIT) 中国地方整備局,501,https://www2.njss.info/organizations/proc/501,広島県,国・省庁|国土交通省|整備局,285,50664,42201
浜松市役所,1706,https://www2.njss.info/organizations/proc/1706,静岡県,地方公共団体|市区町村役所,271,48260,37135
国土交通省(MLIT) 東北地方整備局,506,https://www2.njss.info/organizations/proc/506,宮城県,国・省庁|国土交通省|整備局,265,57970,50443
法務省(MOJ),200,https://www2.njss.info/organizations/proc/200,東京都,国・省庁|法務省,253,107979,96106
国土交通省(MLIT) 北海道開発局 札幌開発建設部,4585,https://www2.njss.info/organizations/proc/4585,北海道,国・省庁|国土交通省|その他国土交通省,253,40928,24205
熊本市役所,1745,https://www2.njss.info/organizations/proc/1745,熊本県,地方公共団体|市区町村役所,247,1108674,1097414
沖縄県庁,1645,https://www2.njss.info/organizations/proc/1645,沖縄県,地方公共団体|都道府県庁,246,81461,57763
静岡市役所,1672,https://www2.njss.info/organizations/proc/1672,静岡県,地方公共団体|市区町村役所,246,42562,37158
豊橋市役所,1728,https://www2.njss.info/organizations/proc/1728,愛知県,地方公共団体|市区町村役所,244,129720,111576
神戸市役所,1665,https://www2.njss.info/organizations/proc/1665,兵庫県,地方公共団体|市区町村役所,235,65979,57449
仙台市役所,1705,https://www2.njss.info/organizations/proc/1705,宮城県,地方公共団体|市区町村役所,235,30097,23490
広島県庁,1585,https://www2.njss.info/organizations/proc/1585,広島県,地方公共団体|都道府県庁,231,73244,52837
京都府庁,1691,https://www2.njss.info/organizations/proc/1691,京都府,地方公共団体|都道府県庁,231,85804,67998
姫路市役所,1734,https://www2.njss.info/organizations/proc/1734,兵庫県,地方公共団体|市区町村役所,231,23077,21288
国土交通省(MLIT) 近畿地方整備局,503,https://www2.njss.info/organizations/proc/503,大阪府,国・省庁|国土交通省|整備局,229,58394,51185
国土交通省(MLIT) 北海道開発局 旭川開発建設部,4590,https://www2.njss.info/organizations/proc/4590,北海道,国・省庁|国土交通省|その他国土交通省,229,16914,10487
国土交通省(MLIT) 大阪航空局,510,https://www2.njss.info/organizations/proc/510,大阪府,国・省庁|国土交通省|航空局,227,28315,18105
山形県庁,1575,https://www2.njss.info/organizations/proc/1575,山形県,地方公共団体|都道府県庁,217,57574,37943
